AMB_TEMP CH4 CO NMHC O3 PM10 RH SO2 THC UVB WD_HR WIND_DIREC WIND_SPEED WS_HR
26 2 1 0 15 53 69 5 2 1 260 271 1 1
26 1 0 0 53 39 56 2 2 1 299 22 1 0
26 1 0 0 42 29 79 4 2 1 174 189 1 0
29 1 0 0 29 46 80 1 2 1 286 292 1 1
21 1 0 0 62 62 31 4 2 1 287 289 3 3
22 1 0 0 51 48 91 1 2 1 45 52 1 1
12 1 0 0 33 11 64 1 2 1 97 104 2 1
26 1 0 0 5 28 74 1 2 1 220 254 1 1
23 1 0 0 5 43 75 4 2 0 145 145 2 1
23 2 2 0 29 37 75 2 2 1 145 145 2 1
23 2 1 0 29 124 75 8 2 1 145 145 2 1
24 1 0 0 33 12 85 2 2 1 89 94 3 2
14 1 0 0 4 56 88 2 2 1 231 242 1 0
19 2 0 0 12 20 91 1 2 1 64 64 2 2
16 1 0 0 47 58 62 2 2 1 96 99 2 1
16 2 1 0 29 76 79 4 2 1 145 145 2 1
13 1 0 0 24 32 83 1 2 1 7 40 1 0
28 1 0 0 13 24 70 1 2 1 110 110 2 3
26 1 0 0 9 29 85 2 2 1 201 194 2 2
16 1 0 0 33 40 93 1 2 1 98 103 5 4
26 1 0 0 23 15 86 1 1 0 66 65 8 8
23 2 1 0 29 42 75 2 2 1 145 145 2 1
14 2 1 0 14 58 85 1 2 1 163 111 1 0
28 1 0 0 9 20 76 2 1 1 92 90 1 2
23 1 0 0 21 22 75 1 2 0 145 145 2 1
19 2 0 0 20 70 81 3 2 1 134 113 1 0
34 1 0 0 42 43 51 2 2 1 254 248 5 5
29 1 0 0 24 45 65 19 2 1 109 0 0 2
27 1 0 0 16 31 80 2 2 1 181 166 1 1
23 3 0 0 29 58 75 1 4 1 145 145 2 1
23 1 0 0 2 34 75 1 2 0 145 145 2 1
15 1 0 0 22 35 85 4 2 1 87 84 2 2
29 2 2 1 29 74 71 4 3 1 145 145 2 1
21 1 1 0 2 7 82 4 2 1 106 134 0 0
26 2 0 0 29 16 80 1 2 1 119 121 2 2
18 1 0 0 28 35 52 2 2 1 177 166 2 0
19 1 0 0 30 43 78 2 2 1 57 50 3 3
15 1 0 0 30 9 90 1 2 1 283 292 1 1
15 1 0 0 55 65 73 3 1 1 89 81 3 2
26 2 2 1 29 53 62 3 3 1 145 145 2 1
21 1 0 0 12 35 88 3 2 1 312 319 2 1
15 1 0 0 45 26 91 2 2 1 91 93 3 4
25 1 0 0 0 34 93 2 2 1 95 1 0 0
26 1 0 0 9 40 85 4 2 1 244 240 1 1
26 1 0 0 35 49 67 5 2 1 90 91 4 3
24 1 0 0 37 34 92 1 2 1 131 111 1 0
28 1 0 0 49 35 85 2 2 1 253 249 3 3
15 1 0 0 46 13 94 1 2 0 88 87 1 0
22 1 0 0 19 15 80 1 2 1 107 108 2 2
27 1 0 0 1 70 86 4 2 1 234 216 2 1
16 2 0 0 39 32 82 2 2 1 120 108 1 0
32 2 0 0 40 54 71 2 2 1 203 201 2 0
28 2 0 0 48 8 64 2 2 1 312 306 3 2
25 1 0 0 15 17 97 2 2 1 48 66 0 1
21 1 0 0 50 25 71 2 2 1 115 116 3 3
19 1 0 0 47 20 93 1 2 1 57 58 6 6
19 1 0 0 34 37 71 1 1 1 94 111 1 0
27 2 0 0 2 26 83 5 2 0 90 76 0 0
19 1 0 0 32 64 61 1 1 1 69 75 2 2
30 1 0 0 33 54 66 3 2 1 34 35 2 1
24 1 0 0 1 59 90 6 2 1 125 255 1 0
24 2 0 0 5 40 95 1 2 1 268 258 0 0
17 1 0 0 51 45 91 1 2 1 27 27 3 3
17 1 0 0 1 59 91 5 2 1 52 81 0 0
23 1 0 0 6 54 86 1 2 1 172 177 0 0
29 2 2 0 29 43 77 1 3 1 145 145 2 1
27 1 0 0 41 21 70 2 2 0 100 89 1 1
19 1 0 0 25 57 88 4 2 1 61 67 7 7
22 1 0 0 16 64 74 6 2 1 45 50 1 1
23 1 0 0 25 23 83 4 2 1 86 73 5 1
20 1 0 0 69 78 62 4 2 1 322 304 3 2
17 2 0 0 3 49 83 4 2 1 199 196 1 1
29 1 0 0 30 11 78 1 1 1 120 123 7 7
25 2 0 0 32 70 79 3 2 1 276 284 0 0
23 2 1 0 29 60 75 3 2 1 145 145 2 1
26 2 0 0 1 63 78 2 2 1 62 110 1 0
30 1 0 0 16 12 73 6 2 1 107 107 2 1
26 2 1 0 29 33 72 0 2 1 145 145 2 1
34 1 0 0 98 68 55 4 2 1 314 310 2 1
26 1 0 0 52 30 65 1 1 1 79 82 0 0
34 1 0 0 39 33 69 1 1 3 262 258 2 2
25 1 0 0 38 56 98 4 2 1 8 0 0 1
19 1 0 0 56 92 33 1 2 1 65 74 1 1
24 1 0 0 15 51 62 7 2 1 86 1 0 0
29 1 0 0 3 14 81 5 1 1 323 304 1 0
28 1 0 0 31 16 75 4 2 1 100 329 1 0
18 1 0 0 27 16 82 1 2 1 97 97 2 2
28 1 0 0 86 24 53 4 2 1 300 311 2 1
35 1 0 0 57 39 55 3 1 1 251 219 2 1
29 1 0 0 6 22 69 4 2 0 234 219 1 0
24 1 0 0 27 55 77 2 2 1 315 305 2 2
15 2 1 0 17 99 67 5 2 1 204 221 0 0
29 1 0 0 50 18 66 5 1 1 134 336 1 0
31 1 0 0 54 50 65 3 2 1 351 292 1 0
17 1 0 0 48 94 51 4 2 1 243 223 2 1
27 1 0 0 25 31 89 0 1 1 96 87 2 1
24 1 0 0 35 24 81 1 2 1 229 253 1 0
19 2 0 0 29 60 56 2 2 1 145 145 2 1
20 1 0 0 8 35 91 3 1 1 80 87 0 0
23 2 0 0 2 35 90 1 2 1 295 301 0 0
25 1 1 0 9 123 91 7 2 1 134 130 3 2
29 1 0 0 10 34 83 1 2 1 179 178 1 1
23 1 0 0 36 40 75 4 2 4 145 145 2 1
23 2 1 0 29 78 75 5 2 1 145 145 2 1
14 1 0 0 25 80 74 2 2 1 56 55 7 6
30 1 0 0 43 78 69 4 2 1 349 29 1 1
20 2 1 0 21 148 78 8 2 1 244 64 1 0
21 1 0 0 50 33 96 2 2 1 154 179 1 1
21 1 0 0 59 92 62 5 2 1 286 295 3 2
25 1 0 0 17 26 74 4 2 1 92 90 3 3
28 1 0 0 4 22 69 4 2 1 227 301 0 0
26 1 0 0 22 24 60 1 2 1 120 128 3 3
29 1 0 0 0 39 88 3 2 1 101 122 1 0
23 1 0 0 30 23 82 0 2 1 110 119 1 1
18 1 1 0 1 37 79 4 2 1 293 299 0 0
33 1 0 0 60 124 56 4 2 1 339 319 2 1
22 1 0 0 28 45 64 5 2 1 62 68 3 3
25 1 0 0 38 56 79 1 2 1 48 34 8 4
10 1 0 0 18 60 84 1 2 1 298 297 0 0
30 2 0 0 29 30 69 2 2 1 145 145 2 1
20 1 0 0 27 24 72 1 2 1 90 86 3 2
19 1 0 0 39 38 92 4 2 1 72 81 2 2
21 1 0 0 42 36 88 1 2 0 326 24 1 0
25 1 0 0 47 46 94 2 2 1 28 280 1 0
25 1 0 0 15 24 83 5 2 1 106 109 2 1
29 2 0 0 12 28 82 4 2 0 58 69 0 0
15 1 0 0 30 29 90 3 2 1 74 79 3 5
17 2 0 0 29 128 63 7 2 1 145 145 2 1
34 1 0 0 58 33 54 3 2 8 252 282 3 2
15 2 0 0 21 49 79 1 2 1 89 81 0 0
22 1 1 0 5 29 77 3 2 1 264 275 1 0
25 1 0 0 40 22 76 1 2 1 62 72 2 2
23 1 0 0 18 21 75 1 2 0 145 145 2 1
23 2 1 0 0 67 87 19 3 0 125 150 0 0
32 1 0 0 32 31 59 0 2 1 254 255 5 6
28 1 0 0 13 36 71 2 2 1 110 242 1 0
23 2 0 0 29 17 75 1 2 1 145 145 2 1
25 1 0 0 72 79 44 5 2 1 87 87 7 8
30 1 0 0 10 30 73 1 2 1 203 192 1 1
23 1 0 0 17 10 97 2 2 1 164 64 0 0
17 1 0 0 50 94 71 2 2 1 80 75 5 5
27 1 0 0 44 40 66 2 1 1 50 58 2 2
23 2 1 0 29 42 75 6 2 1 145 145 2 1
17 1 0 0 49 27 97 2 2 1 49 48 4 4
21 1 0 0 34 34 91 4 2 1 72 69 2 2
18 1 0 0 26 19 100 0 2 1 145 145 2 1
27 1 0 0 16 20 86 2 2 1 217 223 1 0
26 1 0 0 28 13 97 1 2 1 292 315 1 0
15 1 0 0 19 18 88 2 2 1 333 315 1 0
23 2 1 0 29 50 75 7 2 1 145 145 2 1
32 1 0 0 61 45 62 2 2 1 307 309 4 4
28 1 0 0 25 30 87 1 1 1 253 267 2 2
25 1 0 0 28 31 67 3 2 1 90 101 3 3
26 1 0 0 11 21 79 1 2 1 191 243 1 0
18 2 1 0 5 89 68 5 2 1 197 183 1 0
25 1 0 0 33 35 89 2 2 1 235 241 1 1
27 1 0 0 6 22 74 2 2 1 161 156 1 1
27 1 0 0 4 20 76 1 2 1 167 182 1 0
26 1 0 0 34 30 82 1 2 1 315 317 3 2
29 1 0 0 11 26 81 2 1 1 261 147 1 0
27 1 0 0 34 38 98 1 2 1 120 119 7 4
15 1 0 0 27 48 71 1 2 1 51 50 5 4
18 1 0 0 40 6 89 1 1 1 77 82 0 0
30 1 0 0 27 46 89 5 1 1 115 101 1 0
23 1 0 0 11 13 75 4 2 0 145 145 2 1
16 1 0 0 58 70 72 4 2 1 81 74 4 4
27 1 0 0 20 42 77 3 2 1 245 215 0 0
32 1 0 0 64 30 71 5 1 1 89 93 2 1
23 1 0 0 3 28 75 4 2 0 145 145 2 1
28 1 0 0 16 20 69 1 2 1 157 157 0 0
25 1 0 0 21 9 91 1 1 1 92 105 0 0
15 2 0 0 25 37 84 1 2 0 86 81 1 1
34 1 0 0 64 35 59 2 2 1 247 244 2 1
24 1 0 0 32 20 81 1 2 1 185 181 2 1
23 1 0 0 2 28 75 3 2 0 145 145 2 1
23 2 0 0 17 21 93 1 2 1 259 226 0 0
16 2 0 0 21 44 90 2 2 1 89 86 2 0
23 2 1 0 29 68 75 3 3 1 145 145 2 1
28 1 0 0 8 24 78 2 2 1 172 163 1 1
21 1 0 0 39 27 79 2 2 1 98 101 4 5
25 1 0 0 62 64 90 1 2 1 115 123 5 3
17 1 0 0 22 28 88 1 2 1 86 90 2 2
28 1 0 0 24 42 2 0 2 1 0 145 2 1
24 2 2 0 29 49 64 3 3 1 145 145 2 1
27 1 0 0 0 32 88 4 2 1 61 240 1 0
26 1 0 0 19 34 98 1 1 1 306 311 3 2
26 1 0 0 37 46 76 3 2 1 45 43 3 2
25 1 0 0 13 39 89 3 2 1 149 297 2 0
28 1 0 0 22 34 84 4 2 0 242 230 1 1
29 2 1 0 14 51 61 3 2 1 52 56 0 0
20 1 0 0 30 11 92 0 2 1 89 89 0 0
26 1 1 0 22 95 66 10 2 1 71 125 1 0
28 1 0 0 2 38 85 3 2 1 177 154 1 0
17 1 0 0 24 68 87 2 2 1 317 321 2 1
22 1 0 0 43 51 71 2 2 1 59 59 8 7
18 1 0 0 16 104 87 6 2 1 206 197 2 1
23 1 0 0 2 39 75 2 2 0 145 145 2 1
27 1 0 0 4 25 81 2 2 1 66 68 0 0
21 1 0 0 19 28 89 2 2 1 90 90 3 2
13 2 1 0 29 54 55 3 2 1 145 145 2 1
22 2 0 0 6 40 78 3 2 0 46 50 1 1
18 1 0 0 34 23 82 0 1 1 81 75 1 1
16 1 0 0 37 18 88 -1 2 0 42 5 1 0
33 1 0 0 21 42 67 4 2 0 239 239 1 1
29 1 0 0 2 9 71 1 2 0 62 61 2 1
23 1 2 0 31 50 74 3 2 1 2 358 2 1
30 1 0 0 50 50 64 5 2 1 56 59 2 1
23 1 0 0 29 50 57 5 2 1 58 119 0 0
23 1 0 0 31 43 75 2 2 3 145 145 2 1
23 1 1 0 9 38 77 4 2 1 107 135 0 0
34 1 1 0 29 49 52 3 2 1 145 145 2 1
28 2 1 0 29 39 78 2 2 1 145 145 2 1
14 1 0 0 45 51 93 2 2 1 26 28 8 8
23 1 1 0 29 60 75 3 2 1 145 145 2 1
12 1 0 0 26 12 79 1 2 0 114 149 1 0
23 1 0 0 3 48 86 4 2 1 187 184 1 1
24 1 0 0 8 54 82 4 2 1 207 223 3 1
25 1 0 0 43 49 82 1 2 1 47 46 3 2
18 1 0 0 49 34 91 1 2 1 41 30 2 1
34 1 1 0 31 45 52 3 2 1 67 50 2 0
20 2 0 0 16 21 95 1 2 1 83 86 0 0
22 1 0 0 49 42 93 2 2 1 1 32 2 0
32 1 0 0 34 69 64 2 2 1 258 246 2 1
23 1 2 0 29 55 75 5 2 1 145 145 2 1
21 1 0 0 31 30 94 1 2 1 79 76 2 2
23 1 0 0 29 38 75 9 2 1 145 145 2 1
28 1 1 0 5 33 75 2 2 1 193 142 0 0
19 1 0 0 52 35 79 1 2 1 52 51 2 2
17 2 0 0 2 34 92 2 2 1 262 245 0 1
32 2 0 0 29 45 60 5 2 5 257 280 3 2
20 2 1 0 1 41 86 2 2 1 99 122 1 0
19 1 0 0 37 26 92 1 2 1 48 48 4 4
18 2 1 0 2 56 85 2 2 1 61 49 0 0
24 2 0 0 21 46 69 2 2 1 114 118 2 1
36 1 0 0 46 57 53 4 2 1 280 288 4 3
22 1 0 0 36 34 87 1 2 1 252 130 4 0
20 1 0 0 38 37 75 1 2 1 47 47 5 4
27 1 0 0 29 35 90 1 1 1 145 145 2 1
32 1 0 0 19 45 52 4 2 1 253 240 3 2
17 1 0 0 42 37 51 2 2 1 63 63 4 4
26 1 0 0 42 22 76 2 2 1 116 123 1 0
27 1 0 0 10 29 82 4 2 1 162 133 2 1
19 1 0 0 39 25 70 0 2 1 101 112 2 1
21 1 0 0 34 4 100 1 2 1 145 145 2 1
29 1 0 0 38 29 84 2 2 1 67 80 4 2
21 1 0 0 25 36 85 2 2 1 21 58 3 1
23 1 0 0 41 26 75 2 2 3 145 145 2 1
22 1 0 0 24 28 83 3 2 1 47 42 4 2
23 2 1 0 29 60 75 4 2 1 145 145 2 1
16 1 0 0 25 37 88 7 2 1 54 54 2 2
27 1 0 0 12 20 80 1 2 1 164 166 1 1
26 1 0 0 6 23 80 2 2 1 198 191 1 1
26 2 1 0 29 152 65 3 2 1 145 145 2 1
16 1 0 0 42 20 94 1 2 1 92 83 2 1
28 1 0 0 60 51 67 4 2 1 60 61 5 4
18 1 0 0 44 49 93 3 2 1 69 64 1 0
17 2 1 0 23 58 62 3 2 1 219 97 1 0
26 1 0 0 65 27 70 1 2 1 102 101 1 1
30 1 0 0 43 42 56 1 2 1 290 289 2 0
26 1 0 0 33 100 91 3 2 1 202 190 2 1
26 1 0 0 31 36 78 3 2 1 51 44 3 2
17 2 0 0 42 108 72 3 2 1 132 83 2 0
17 1 0 0 23 32 89 2 2 1 48 47 4 3
23 2 0 0 29 85 75 4 2 1 145 145 2 1
27 1 0 0 38 42 63 5 2 1 326 324 1 0
19 1 0 0 29 40 79 1 1 1 116 111 3 2
15 2 0 0 25 32 82 3 2 1 98 188 1 0
23 1 0 0 48 35 75 5 2 8 145 145 2 1
23 1 0 0 27 4 100 0 2 1 145 145 2 1
26 1 0 0 7 12 91 3 2 1 44 54 1 1
25 2 0 0 27 85 86 4 2 0 289 327 0 0
22 1 0 0 36 55 89 2 2 1 38 35 8 7
25 2 0 0 18 12 88 4 2 0 17 17 0 0
24 1 0 0 36 39 90 1 2 1 61 61 3 2
28 1 0 0 24 15 92 0 2 1 55 85 1 0
23 1 0 0 36 32 87 12 2 1 120 123 3 2
32 1 0 0 43 28 59 3 1 1 87 66 1 1
23 1 0 0 36 41 85 4 2 0 94 94 4 3
18 1 0 0 24 15 76 1 2 1 84 84 2 2
17 1 0 0 32 9 91 2 1 1 67 71 1 1
23 1 0 0 13 3 91 1 2 1 232 214 0 0
32 1 0 0 46 63 58 4 2 1 283 304 2 2
23 1 1 0 29 76 75 17 1 1 145 145 2 1
28 1 0 0 7 16 68 1 2 1 183 160 0 0
27 2 0 0 7 48 80 3 2 1 187 183 1 1
30 1 0 0 4 37 70 4 2 1 233 217 0 1
33 1 0 0 31 39 55 2 2 1 245 238 5 4
12 1 0 0 34 106 69 7 2 1 72 73 6 6
22 2 0 0 56 40 62 1 2 0 66 67 2 3
29 1 0 0 15 50 76 4 2 1 135 150 3 1
18 1 0 0 11 51 67 2 2 1 201 146 1 0
23 1 1 0 21 50 79 5 2 1 258 261 2 1
25 1 0 0 27 45 78 2 2 1 288 287 3 2
29 1 0 0 13 25 69 1 2 1 189 84 0 0
17 1 0 0 53 65 51 4 2 1 91 93 6 6
25 1 0 0 18 17 89 1 2 1 129 127 2 1
23 1 0 0 31 26 75 1 2 0 145 145 2 1
15 1 1 0 1 89 91 3 2 1 197 209 0 0
24 2 0 0 8 75 73 5 2 0 226 220 1 1
28 1 0 0 34 26 77 5 1 1 286 83 1 0
16 1 0 0 52 9 98 1 2 1 73 61 1 0
23 1 0 0 38 24 69 3 2 1 319 318 3 2
31 1 1 0 15 46 64 4 2 1 201 210 2 2
23 0 0 0 29 45 75 2 0 1 145 145 2 1
18 1 0 0 34 50 55 3 2 1 85 73 2 1
28 1 0 0 9 39 67 1 2 1 123 107 2 2
23 1 0 0 71 68 75 3 2 7 145 145 2 1
15 2 0 0 1 83 86 10 2 0 221 234 1 1
25 1 0 0 40 30 82 2 2 1 145 145 2 1
30 1 0 0 17 42 75 2 2 1 252 250 9 7
19 1 0 0 35 70 74 4 2 1 77 74 3 3
16 1 0 0 47 90 56 3 2 1 92 99 2 2
20 1 0 0 41 28 77 0 1 0 96 94 3 3
24 1 0 0 21 51 70 5 2 1 228 228 3 3
29 1 0 0 28 47 3 4 2 1 228 209 1 1
14 1 0 0 39 34 54 2 2 1 114 110 2 2
23 1 0 0 47 67 80 1 2 1 29 27 6 5
33 1 0 0 28 32 60 1 2 1 313 312 1 1
24 1 0 0 42 39 82 1 2 1 66 56 1 1
17 1 0 0 45 44 73 1 1 1 93 93 0 0
12 1 0 0 42 43 60 2 2 1 82 81 3 3
31 1 0 0 44 26 70 2 2 1 260 247 4 4
29 1 0 0 7 32 77 3 2 1 221 219 2 2
19 1 0 0 12 21 74 1 2 1 107 120 1 1
11 1 0 0 42 149 63 7 2 1 53 46 3 3
23 1 1 0 29 31 75 2 2 1 145 145 2 1
16 1 0 0 35 19 64 1 2 1 82 105 2 1
28 1 1 0 8 31 88 4 2 1 190 156 1 0
27 1 0 0 23 6 88 1 2 1 349 308 1 0
26 2 0 0 21 21 87 2 2 0 173 312 1 0
20 1 0 0 7 24 88 5 1 1 78 82 1 1
29 1 0 0 60 57 76 2 2 1 48 49 2 2
25 1 0 0 59 44 76 1 2 1 158 140 1 0
16 2 1 0 29 64 62 2 2 1 145 145 2 1
33 1 0 0 41 33 58 4 2 1 272 274 3 3
29 2 0 0 99 95 67 7 2 1 121 129 1 0
16 1 0 0 51 49 69 1 2 1 85 85 2 2
24 1 0 0 11 20 91 1 2 1 182 284 0 0
16 1 0 0 37 26 95 2 2 1 89 97 3 2
27 1 0 0 49 48 57 2 2 3 108 87 1 1
17 2 0 0 47 36 90 1 2 1 243 264 1 0
0 1 2 0 29 19 0 3 2 1 145 145 2 1
23 1 0 0 23 66 75 4 2 8 145 145 2 1
24 2 0 0 29 37 85 0 2 1 145 145 2 1
17 1 0 0 32 49 69 2 2 1 94 97 4 4
16 1 0 0 29 17 76 1 2 1 109 109 1 1
18 1 0 0 54 41 92 1 2 1 123 117 2 2
22 1 0 0 43 75 80 2 2 1 31 35 2 1
20 2 0 0 21 40 84 5 2 1 104 106 2 2
18 1 0 0 40 17 92 1 2 1 78 81 3 2
11 2 0 0 19 22 84 2 2 0 83 82 1 1
25 1 0 0 1 51 91 6 2 1 133 125 0 0
23 1 0 0 55 59 85 2 2 1 280 274 1 0
24 1 0 0 29 70 75 3 2 1 77 68 3 2
24 1 0 0 61 57 75 1 1 1 90 86 1 1
29 1 0 0 51 40 77 2 2 1 328 333 1 1
17 1 0 0 47 37 86 2 2 1 48 46 4 5
18 1 0 0 47 14 85 1 2 1 92 90 3 3
25 1 0 0 60 87 53 4 2 1 114 110 3 3
28 1 0 0 45 39 87 2 2 1 50 50 4 4
23 1 2 0 29 51 75 5 2 1 145 145 2 1
16 2 0 0 29 47 63 1 2 1 156 132 0 0
15 2 0 0 41 16 89 2 2 1 71 71 1 0
21 1 0 0 43 16 73 2 2 1 108 106 3 4
24 1 0 0 23 11 94 0 2 1 145 145 2 1
26 1 0 0 16 34 89 1 2 1 75 73 3 2
27 1 0 0 49 32 79 2 2 1 71 80 3 3
17 1 0 0 54 45 87 1 2 1 81 85 3 2
11 1 0 0 30 67 88 3 2 1 59 47 3 2
26 1 0 0 48 56 60 2 1 2 303 313 4 3
17 1 0 0 57 57 81 1 2 1 244 18 1 0
23 1 0 0 39 42 75 2 2 0 145 145 2 1
32 1 0 0 29 37 68 5 2 1 46 47 1 1
32 1 0 0 28 57 56 3 2 1 257 247 2 2
27 1 0 0 34 26 75 1 1 1 164 181 1 2
23 2 0 0 29 50 75 5 2 1 145 145 2 1
27 1 0 0 18 33 82 4 2 1 224 213 2 2
14 2 0 0 30 25 82 1 2 1 87 74 1 0
26 1 0 0 25 161 86 1 2 1 83 87 8 7
18 1 0 0 29 63 81 3 2 1 51 66 3 3
30 1 0 0 16 31 67 3 2 1 171 185 1 1
29 1 0 0 15 78 74 1 2 1 198 210 1 0
32 1 0 0 30 44 58 5 2 4 233 244 3 1
22 1 0 0 6 34 75 1 2 1 277 240 0 0
29 1 0 0 40 104 71 4 2 1 7 332 2 0
25 2 0 0 21 24 76 1 2 1 103 138 0 0
27 1 0 0 7 30 84 10 2 0 76 65 0 0
19 2 1 0 1 42 96 3 3 1 304 3 0 0
18 1 0 0 49 6 99 0 1 1 90 79 1 1
29 2 1 0 4 40 69 4 2 1 174 116 0 0
25 1 0 0 51 92 75 1 2 1 54 53 5 4
24 1 0 0 36 20 83 4 2 1 76 74 4 4
19 1 0 0 51 15 100 0 2 1 145 145 2 1
14 2 0 0 5 38 86 1 2 1 148 156 0 0
30 1 0 0 2 17 70 0 2 1 95 84 3 4
25 1 0 0 27 50 79 1 2 1 73 79 3 3
17 1 0 0 29 38 70 11 2 1 56 51 5 4
32 1 1 0 29 53 68 2 2 1 145 145 2 1
23 1 0 0 2 54 75 2 2 0 145 145 2 1
32 1 0 0 29 37 65 1 2 1 145 145 2 1
23 1 0 0 28 23 75 2 2 0 145 145 2 1
23 1 1 0 29 49 75 3 2 1 145 145 2 1
